nested_id,source_download_file,source_candidate_id,source_data_url,nested_url,file_extension,score,decision,reasons,detected_event_count_in_source,context_preview,created_utc
NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0007,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_081__80501.dat,CERN_OPENDATA_API_DELPHI_081,https://opendata.cern.ch/api/records/80501,http://opendata.cern.ch/schema/records/record-v1.0.0.json,.json,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata.$schema,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0010,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,CERN_OPENDATA_API_DELPHI_085,https://opendata.cern.ch/api/records/80509,https://opendata.cern.ch/eos/opendata/delphi/condition-data/DBcalb.dat,.dat,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata._files[0].uri root://eospublic.cern.ch//eos/opendata/delphi/condition-data/DBcalb.dat,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0011,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,CERN_OPENDATA_API_DELPHI_085,https://opendata.cern.ch/api/records/80509,https://opendata.cern.ch/eos/opendata/delphi/condition-data/DBgeom.dat,.dat,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata._files[1].uri root://eospublic.cern.ch//eos/opendata/delphi/condition-data/DBgeom.dat,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0012,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,CERN_OPENDATA_API_DELPHI_085,https://opendata.cern.ch/api/records/80509,https://opendata.cern.ch/eos/opendata/delphi/condition-data/DBlepm.dat,.dat,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata._files[2].uri root://eospublic.cern.ch//eos/opendata/delphi/condition-data/DBlepm.dat,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0013,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,CERN_OPENDATA_API_DELPHI_085,https://opendata.cern.ch/api/records/80509,https://opendata.cern.ch/eos/opendata/delphi/condition-data/DBmisc.dat,.dat,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata._files[3].uri root://eospublic.cern.ch//eos/opendata/delphi/condition-data/DBmisc.dat,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0014,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,CERN_OPENDATA_API_DELPHI_085,https://opendata.cern.ch/api/records/80509,https://opendata.cern.ch/eos/opendata/delphi/condition-data/DBrunt.dat,.dat,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata._files[4].uri root://eospublic.cern.ch//eos/opendata/delphi/condition-data/DBrunt.dat,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0015,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,CERN_OPENDATA_API_DELPHI_085,https://opendata.cern.ch/api/records/80509,https://opendata.cern.ch/eos/opendata/delphi/condition-data/DBscon.dat,.dat,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata._files[5].uri root://eospublic.cern.ch//eos/opendata/delphi/condition-data/DBscon.dat,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0016,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,CERN_OPENDATA_API_DELPHI_085,https://opendata.cern.ch/api/records/80509,https://opendata.cern.ch/eos/opendata/delphi/condition-data/DBsysf.dat,.dat,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata._files[6].uri root://eospublic.cern.ch//eos/opendata/delphi/condition-data/DBsysf.dat,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0009,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_081__80501.dat,CERN_OPENDATA_API_DELPHI_081,https://opendata.cern.ch/api/records/80501,https://opendata.cern.ch/records/record-v1.0.0.json,.json,8,shortlist_nested_download_target,data_extension;data_hint;delphi_context;cern_opendata_url,,json.metadata.$schema http://opendata.cern.ch/schema/records/record-v1.0.0.json,2026-06-03T20:55:36+00:00
NESTED_CERN_OPENDATA_API_DELPHI_001__about-delphi_0004,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_001__about-delphi.dat,CERN_OPENDATA_API_DELPHI_001,https://opendata.cern.ch/api/docs/about-delphi,http://opendata.cern.ch/schema/records/docs-v1.0.0.json,.json,6,shortlist_nested_download_target,data_extension;data_hint;delphi_context;page_or_document_hint;cern_opendata_url,,json.metadata.$schema,2026-06-03T20:55:36+00:00
