candidate_id,source_file,source_nested_id,json_path,candidate_url,file_extension,score,decision,reasons,detected_event_count_in_source,context_preview,created_utc
META_538334774344,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001__e398a139-5c13-4145-afa1-b50846654932.dat,NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001,json.contents[3].links,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat,.dat,12,shortlist_event_file_candidate,data_extension;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat"", ""version"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?versionId=48fa3b2a-3065-43d0-b4d1-d167723f3a8e"", ""uploads"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?uploads""}",2026-06-03T22:50:49+00:00
META_712422268602,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001__e398a139-5c13-4145-afa1-b50846654932.dat,NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001,json.contents[3].links,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?uploads,.dat,12,shortlist_event_file_candidate,data_extension;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat"", ""version"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?versionId=48fa3b2a-3065-43d0-b4d1-d167723f3a8e"", ""uploads"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?uploads""}",2026-06-03T22:50:49+00:00
META_763216684675,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001__e398a139-5c13-4145-afa1-b50846654932.dat,NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001,json.contents[3].links,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?versionId=48fa3b2a-3065-43d0-b4d1-d167723f3a8e,.dat,12,shortlist_event_file_candidate,data_extension;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat"", ""version"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?versionId=48fa3b2a-3065-43d0-b4d1-d167723f3a8e"", ""uploads"": ""https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?uploads""}",2026-06-03T22:50:49+00:00
META_389014807706,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001__3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0.dat,NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001,json.links,https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0"", ""versions"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?uploads""}",2026-06-03T22:50:49+00:00
META_069415251312,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001__3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0.dat,NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001,json.links,https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?uploads,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0"", ""versions"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?uploads""}",2026-06-03T22:50:49+00:00
META_705850655586,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001__3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0.dat,NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001,json.links,https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?versions,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0"", ""versions"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?uploads""}",2026-06-03T22:50:49+00:00
META_212727898513,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001__4115cda7-50ba-46e4-a1ef-323d0f4e4414.dat,NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001,json.links,https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414"", ""versions"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?uploads""}",2026-06-03T22:50:49+00:00
META_425129629780,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001__4115cda7-50ba-46e4-a1ef-323d0f4e4414.dat,NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001,json.links,https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?uploads,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414"", ""versions"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?uploads""}",2026-06-03T22:50:49+00:00
META_134476296673,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001__4115cda7-50ba-46e4-a1ef-323d0f4e4414.dat,NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001,json.links,https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?versions,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414"", ""versions"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?uploads""}",2026-06-03T22:50:49+00:00
META_865775155815,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_108__91776_0001__43588201-288b-4fc8-8266-859d27b8b7bb.dat,NESTED_CERN_OPENDATA_API_DELPHI_108__91776_0001,json.links,https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb"", ""versions"": ""https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb?uploads""}",2026-06-03T22:50:49+00:00
META_590842632215,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\nested_event_downloads\NESTED_CERN_OPENDATA_API_DELPHI_108__91776_0001__43588201-288b-4fc8-8266-859d27b8b7bb.dat,NESTED_CERN_OPENDATA_API_DELPHI_108__91776_0001,json.links,https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb?uploads,,10,shortlist_event_file_candidate,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,,"{""self"": ""https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb"", ""versions"": ""https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb?versions"", ""uploads"": ""https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb?uploads""}",2026-06-03T22:50:49+00:00
