candidate_id,candidate_url,source_nested_id,json_path,file_extension,score,reasons,download_attempted,success,download_status,http_status,content_type,content_length,classification,validation_message,size_bytes,sha256,output_file,error,started_utc,finished_utc
META_538334774344,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat,NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001,json.contents[3].links,.dat,12,data_extension;event_or_dst_hint;cern_api_files_endpoint,True,False,failed_or_blocked,404,,,not_downloaded,,0,,,HTTPError 404: NOT FOUND,2026-06-03T23:11:07+00:00,2026-06-03T23:11:08+00:00
META_712422268602,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?uploads,NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001,json.contents[3].links,.dat,12,data_extension;event_or_dst_hint;cern_api_files_endpoint,True,False,failed_or_blocked,404,,,not_downloaded,,0,,,HTTPError 404: NOT FOUND,2026-06-03T23:11:09+00:00,2026-06-03T23:11:10+00:00
META_763216684675,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?versionId=48fa3b2a-3065-43d0-b4d1-d167723f3a8e,NESTED_CERN_OPENDATA_API_DELPHI_085__80509_0001,json.contents[3].links,.dat,12,data_extension;event_or_dst_hint;cern_api_files_endpoint,True,False,failed_or_blocked,404,,,not_downloaded,,0,,,HTTPError 404: NOT FOUND,2026-06-03T23:11:11+00:00,2026-06-03T23:11:11+00:00
META_389014807706,https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0,NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001,json.links,,10,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,True,True,downloaded,200,,,small_dat_or_metadata_candidate,content_type_allowed_or_unknown:application/json,4248,7af4827b0d4e2ad0b2efe3b64445a8d50ef1859bbb066d3e169ca79d73d510e4,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\metadata_event_file_downloads\META_389014807706__3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0.dat,,2026-06-03T23:11:12+00:00,2026-06-03T23:11:13+00:00
META_069415251312,https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?uploads,NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001,json.links,,10,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,True,True,downloaded,200,,,small_dat_or_metadata_candidate,content_type_allowed_or_unknown:application/json,2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\metadata_event_file_downloads\META_069415251312__3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0.dat,,2026-06-03T23:11:13+00:00,2026-06-03T23:11:14+00:00
META_705850655586,https://opendata.cern.ch/api/files/3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0?versions,NESTED_CERN_OPENDATA_API_DELPHI_095__88627_0001,json.links,,10,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,True,True,downloaded,200,,,small_dat_or_metadata_candidate,content_type_allowed_or_unknown:application/json,4248,7af4827b0d4e2ad0b2efe3b64445a8d50ef1859bbb066d3e169ca79d73d510e4,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\metadata_event_file_downloads\META_705850655586__3f9c4fc5-eb12-4e4f-9b79-b1321bfe40c0.dat,,2026-06-03T23:11:15+00:00,2026-06-03T23:11:16+00:00
META_212727898513,https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414,NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001,json.links,,10,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,True,True,downloaded,200,,,small_dat_or_metadata_candidate,content_type_allowed_or_unknown:application/json,2348,db00222aa8cbb10d681b1771f0a519199010450127cb8177e354649ffc818aa9,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\metadata_event_file_downloads\META_212727898513__4115cda7-50ba-46e4-a1ef-323d0f4e4414.dat,,2026-06-03T23:11:17+00:00,2026-06-03T23:11:17+00:00
META_425129629780,https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?uploads,NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001,json.links,,10,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,True,True,downloaded,200,,,small_dat_or_metadata_candidate,content_type_allowed_or_unknown:application/json,2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\metadata_event_file_downloads\META_425129629780__4115cda7-50ba-46e4-a1ef-323d0f4e4414.dat,,2026-06-03T23:11:18+00:00,2026-06-03T23:11:19+00:00
META_134476296673,https://opendata.cern.ch/api/files/4115cda7-50ba-46e4-a1ef-323d0f4e4414?versions,NESTED_CERN_OPENDATA_API_DELPHI_081__80501_0001,json.links,,10,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,True,True,downloaded,200,,,small_dat_or_metadata_candidate,content_type_allowed_or_unknown:application/json,2348,db00222aa8cbb10d681b1771f0a519199010450127cb8177e354649ffc818aa9,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\metadata_event_file_downloads\META_134476296673__4115cda7-50ba-46e4-a1ef-323d0f4e4414.dat,,2026-06-03T23:11:20+00:00,2026-06-03T23:11:20+00:00
META_865775155815,https://opendata.cern.ch/api/files/43588201-288b-4fc8-8266-859d27b8b7bb,NESTED_CERN_OPENDATA_API_DELPHI_108__91776_0001,json.links,,10,extensionless_api_or_record;event_or_dst_hint;cern_api_files_endpoint,True,True,downloaded,200,,,small_dat_or_metadata_candidate,content_type_allowed_or_unknown:application/json,46384,3b93c9da9579dbd17a20097b8d2a9d0992aae9da27aeb53023c36c1de74f2469,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\metadata_event_file_downloads\META_865775155815__43588201-288b-4fc8-8266-859d27b8b7bb.dat,,2026-06-03T23:11:21+00:00,2026-06-03T23:11:22+00:00
