candidate_id,source_id,discovery_source,source_url,data_url,candidate_kind,file_extension,title_or_context,expected_data_kind,detected_event_count,event_count_verified,min_event_count_required,download_selected,reason,notes,created_utc,domain,url_path,offline_score,offline_reasons,offline_decision,detected_event_count_refined,event_count_verified_refined,probe_attempted,probe_success,probe_method,probe_http_status,probe_content_type,probe_content_length,probe_final_url,probe_error
CERN_OPENDATA_API_DELPHI_002,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,cern_opendata_api_delphi,https://opendata.cern.ch/api/records/?q=DELPHI&size=50,http://opendata.cern.ch/schema/records/docs-v1.0.0.json,public_endpoint_candidate,.json,cern_opendata_api_delphi.hits.hits[0].metadata.$schema http://opendata.cern.ch/schema/records/docs-v1.0.0.json,numeric_table_or_analysis_output_candidate,,False,10000,False,selected_if_event_count_verified_from_endpoint_context,Candidate discovered through public endpoint; verify license and content before numerical use.,2026-06-03T11:19:13+00:00,opendata.cern.ch,/schema/records/docs-v1.0.0.json,10,filelike_extension;good_data_hint;delphi_or_eventshape_context;cern_domain,shortlist,,False,False,False,not_requested,,,,,
CERN_OPENDATA_API_DELPHI_082,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,cern_opendata_api_delphi,https://opendata.cern.ch/api/records/?q=DELPHI&size=50,http://opendata.cern.ch/schema/records/record-v1.0.0.json,public_endpoint_candidate,.json,cern_opendata_api_delphi.hits.hits[10].metadata.$schema http://opendata.cern.ch/schema/records/record-v1.0.0.json,numeric_table_or_analysis_output_candidate,,False,10000,False,selected_if_event_count_verified_from_endpoint_context,Candidate discovered through public endpoint; verify license and content before numerical use.,2026-06-03T11:19:13+00:00,opendata.cern.ch,/schema/records/record-v1.0.0.json,10,filelike_extension;good_data_hint;delphi_or_eventshape_context;cern_domain,shortlist,,False,False,False,not_requested,,,,,
INSPIRE_DELPHI_2510_035,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,inspire_delphi_2510,https://inspirehep.net/api/literature?q=arxiv:2510.18762&size=1,https://inspirehep.net/schemas/records/hep.json,public_endpoint_candidate,.json,inspire_delphi_2510.hits.hits[0].metadata.$schema https://inspirehep.net/schemas/records/hep.json,numeric_table_or_analysis_output_candidate,,False,10000,False,selected_if_event_count_verified_from_endpoint_context,Candidate discovered through public endpoint; verify license and content before numerical use.,2026-06-03T11:19:13+00:00,inspirehep.net,/schemas/records/hep.json,7,filelike_extension;good_data_hint;delphi_or_eventshape_context;metadata_domain_possible,shortlist,,False,False,False,not_requested,,,,,
