label,Mfrac,Rfrac,T_K,rho_g_cm3,X_H1,Y_He4,X_He3,X_C12,X_N14,X_O16,source_status
inner_0.00649R,0.0000298,0.00649,1.570e7,153.1,0.33984,0.64034,7.30e-06,2.41e-05,5.47e-03,8.65e-03,BP2004_machine_readable_table
inner_0.07759R,0.0402588,0.07759,1.397e7,105.4,0.48185,0.49859,2.53e-05,1.73e-05,4.93e-03,9.08e-03,BP2004_machine_readable_table
inner_0.17103R,0.2517256,0.17103,1.037e7,46.37,0.66095,0.31973,2.52e-04,1.72e-03,2.30e-03,8.91e-03,BP2004_machine_readable_table
mid_0.41974R,0.8158321,0.41974,4.863e6,3.155,0.71305,0.26822,2.15e-04,3.15e-03,9.34e-04,8.65e-03,BP2004_machine_readable_table
czbase_0.71805R,0.9769551,0.71805,2.136e6,0.1793,0.73963,0.24335,1.00e-04,2.88e-03,8.54e-04,7.91e-03,BP2004_machine_readable_table
outer_0.88850R,0.9977511,0.88850,6.774e5,0.03136,0.73963,0.24335,1.00e-04,2.88e-03,8.54e-04,7.91e-03,BP2004_machine_readable_table
