stage,input_file,output_file,row_count,status,notes,created_utc
clean_reference_registry,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\references\reference_registry_raw_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\reference_registry_cleaned_001.csv,4,success,Reference registry normalized.,2026-06-01T21:38:11+00:00
clean_download_manifest,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\references\download_manifest_raw_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\download_manifest_cleaned_001.csv,4,success,Download manifest normalized.,2026-06-01T21:38:11+00:00
clean_pdg_full,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\pdg_mass_width_raw_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\pdg_mass_width_cleaned_full_001.csv,232,success,PDG mass-width table normalized. GeV to MeV conversion columns added.,2026-06-01T21:38:11+00:00
select_pdg_particles,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\pdg_mass_width_cleaned_full_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\pdg_particle_masses_selected_001.csv,0,success,Minimal selected particle set generated.,2026-06-01T21:38:11+00:00
select_nist_constants,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\nist_codata_constants_raw_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\nist_constants_cleaned_selected_001.csv,6,success,Selected NIST constants generated.,2026-06-01T21:38:11+00:00
clean_seed_cases,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\strong_interaction_seed_cases_raw_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\strong_interaction_cases_cleaned_001.csv,4,success,Seed cases cleaned. Still not measurement data.,2026-06-01T21:38:11+00:00
