stage,input_file,output_file,row_count,status,note,created_at
standard_baseline_check,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\strong_interaction_minimal_input.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\results\standard\20260602_065210\standard_case_summary_001.csv,5,success,Standard-baseline case summary generated.,20260602_065210
standard_numeric_checks,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\strong_interaction_selected_particles_input_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\results\standard\20260602_065210\standard_numeric_checks_001.csv,3,success,Numeric standard consistency checks generated.,20260602_065210
input_support_files_loaded,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\strong_interaction_selected_constants_input_001.csv;D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\strong_interaction_input_manifest_001.csv,,9,success,Selected constants and input manifest were loaded for provenance check.,20260602_065210
