constant_key,quantity,value_raw,value_numeric,uncertainty_raw,uncertainty_numeric,unit_raw,standard_role,source_id,created_utc
atomic_mass_constant_energy_equivalent_MeV,atomic mass constant energy equivalent in MeV,931.494 103 72,931.49410372,0.000 000 29,2.9e-07,MeV,mass_energy_unit_reference,NIST_CODATA_2022_ALLASCII,2026-06-01T21:44:36+00:00
electron_mass_energy_equivalent_MeV,electron mass energy equivalent in MeV,0.510 998 950 69,0.51099895069,0.000 000 000 16,1.6e-10,MeV,electron_rest_energy_reference,NIST_CODATA_2022_ALLASCII,2026-06-01T21:44:36+00:00
joule_electron_volt_relationship,joule-electron volt relationship,6.241 509 074... e18,6.241509074e+18,(exact),,eV,energy_unit_conversion_reference,NIST_CODATA_2022_ALLASCII,2026-06-01T21:44:36+00:00
neutron_mass_energy_equivalent_MeV,neutron mass energy equivalent in MeV,939.565 421 94,939.56542194,0.000 000 48,4.8e-07,MeV,neutron_rest_energy_reference,NIST_CODATA_2022_ALLASCII,2026-06-01T21:44:36+00:00
proton_mass_energy_equivalent_MeV,proton mass energy equivalent in MeV,938.272 089 43,938.2720894300001,0.000 000 29,2.9e-07,MeV,proton_rest_energy_reference,NIST_CODATA_2022_ALLASCII,2026-06-01T21:44:36+00:00
speed_of_light,speed of light in vacuum,299 792 458,299792458,(exact),,m s^-1,unit_conversion_and_mass_energy_relation,NIST_CODATA_2022_ALLASCII,2026-06-01T21:44:36+00:00
