source_file,source_id,mc_id_1,mc_id_2,mc_id_3,mc_id_4,particle_name_raw,particle_name_norm,mass_GeV_c2,mass_MeV_c2,mass_pos_error_GeV_c2,mass_pos_error_MeV_c2,mass_neg_error_GeV_c2,mass_neg_error_MeV_c2,width_GeV,width_MeV,width_pos_error_GeV,width_pos_error_MeV,width_neg_error_GeV,width_neg_error_MeV,unit_assumption,raw_line,cleaned_utc
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,21,,,,g                   0,g 0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,      21                          0.E+00            +0.0E+00 -0.0E+00  0.E+00            +0.0E+00 -0.0E+00 g                   0,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,22,,,,gamma               0,gamma 0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,      22                          0.E+00            +0.0E+00 -0.0E+00  0.E+00            +0.0E+00 -0.0E+00 gamma               0,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,11,,,,e                   -,e -,0.00051099895,0.5109989500000001,1.5e-13,1.5e-10,-1.5e-13,-1.5e-10,0.0,0.0,0.0,0.0,-0.0,-0.0,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,      11                          5.1099895000E-04  +1.5E-13 -1.5E-13  0.E+00            +0.0E+00 -0.0E+00 e                   -,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,2,,,,u                +2/3,u +2/3,0.00216,2.16,7e-05,0.06999999999999999,-7e-05,-0.06999999999999999,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,       2                          2.16E-03          +7.0E-05 -7.0E-05                                      u                +2/3,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,1,,,,d                -1/3,d -1/3,0.0047,4.7,7e-05,0.06999999999999999,-7e-05,-0.06999999999999999,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,       1                          4.70E-03          +7.0E-05 -7.0E-05                                      d                -1/3,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,3,,,,s                -1/3,s -1/3,0.0935,93.5,0.0008,0.8,-0.0008,-0.8,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,       3                          9.35E-02          +8.0E-04 -8.0E-04                                      s                -1/3,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,4,,,,c                +2/3,c +2/3,1.273,1273.0,0.005,5.0,-0.005,-5.0,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,       4                          1.273E+00         +5.0E-03 -5.0E-03                                      c                +2/3,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,5,,,,b                -1/3,b -1/3,4.183,4183.0,0.007,7.0,-0.007,-7.0,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,       5                          4.183E+00         +7.0E-03 -7.0E-03                                      b                -1/3,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,6,,,,t                +2/3,t +2/3,172.56,172560.0,0.31,310.0,-0.31,-310.0,1.42,1420.0,0.19,190.0,-0.15,-150.0,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,       6                          1.7256E+02        +3.1E-01 -3.1E-01  1.42E+00          +1.9E-01 -1.5E-01 t                +2/3,2026-06-02T17:49:57+00:00
pdg_mass_width_2025_raw_benchmark_001.txt,PDG_MASS_WIDTH_2025,211,,,,pi                  +,pi +,0.13957039,139.57038999999997,1.8e-07,0.00017999999999999998,-1.8e-07,-0.00017999999999999998,2.5284e-17,2.5284e-14,5e-21,4.9999999999999996e-18,-5e-21,-4.9999999999999996e-18,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,     211                          1.3957039E-01     +1.8E-07 -1.8E-07  2.5284E-17        +5.0E-21 -5.0E-21 pi                  +,2026-06-02T17:49:57+00:00
