input_file,input_path,source_file,source_path,input_batch,input_stage,is_source_registry_input,is_reference_support_input,is_missing_data_input,is_numerical_benchmark_input,is_standard_baseline_input,is_event_level_input,requires_numerical_data_before_standard,allowed_next_use,disallowed_next_use,row_count,created_utc
strong_interaction_source_registry_input_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\01\strong_interaction_source_registry_input_001.csv,benchmark_source_registry_input_candidates_003.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\03\benchmark_source_registry_input_candidates_003.csv,01,source_registry_reference_support_missing_data_input,True,False,False,False,False,False,True,manual_acquisition_planning_and_audit_only,standard_or_structural_numerical_validation,6,2026-06-02T18:33:16+00:00
strong_interaction_missing_numerical_data_input_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\01\strong_interaction_missing_numerical_data_input_001.csv,missing_numerical_data_input_candidates_003.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\03\missing_numerical_data_input_candidates_003.csv,01,source_registry_reference_support_missing_data_input,False,False,True,False,False,False,True,manual_acquisition_planning_and_audit_only,standard_or_structural_numerical_validation,3,2026-06-02T18:33:16+00:00
strong_interaction_reference_support_input_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\01\strong_interaction_reference_support_input_001.csv,reference_support_input_candidates_003.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\03\reference_support_input_candidates_003.csv,01,source_registry_reference_support_missing_data_input,False,True,False,False,False,False,True,manual_acquisition_planning_and_audit_only,standard_or_structural_numerical_validation,4,2026-06-02T18:33:16+00:00
strong_interaction_input_source_candidate_manifest_001.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\input\01\strong_interaction_input_source_candidate_manifest_001.csv,input_candidate_manifest_003.csv,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\derived\cleaned_tables\03\input_candidate_manifest_003.csv,01,source_registry_reference_support_missing_data_input,False,False,False,False,False,False,True,manual_acquisition_planning_and_audit_only,standard_or_structural_numerical_validation,3,2026-06-02T18:33:16+00:00
