search_id,source_id,query,search_url,search_output_file,success,http_status,record_count_extracted,error,started_utc,finished_utc
OPAL_2005_EVENT_SHAPE_91_209,OPAL_EVENT_SHAPES_91_209GEV_2005,Measurement of event shape distributions and moments in e+e- hadrons 91 209 GeV OPAL,https://www.hepdata.net/search/?q=Measurement+of+event+shape+distributions+and+moments+in+e%2Be-+hadrons+91+209+GeV+OPAL&page=1&size=25&format=json,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\hepdata_search_opal_2005_event_shape_91_209_raw_001.json,False,403,0,HTTPError 403: Forbidden,2026-06-02T17:55:32+00:00,2026-06-02T17:55:32+00:00
OPAL_2011_NNLO_EVENT_SHAPE_91_209,OPAL_EVENT_SHAPES_NNLO_2011,Determination of alphaS using OPAL hadronic event shapes 91 209 GeV NNLO,https://www.hepdata.net/search/?q=Determination+of+alphaS+using+OPAL+hadronic+event+shapes+91+209+GeV+NNLO&page=1&size=25&format=json,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\hepdata_search_opal_2011_nnlo_event_shape_91_209_raw_001.json,False,403,0,HTTPError 403: Forbidden,2026-06-02T17:55:33+00:00,2026-06-02T17:55:33+00:00
JADE_1997_EVENT_SHAPE_22_44,JADE_EVENT_SHAPES_22_44GEV,JADE event shapes alpha_s e+e- annihilations 22 44 GeV thrust heavy jet mass broadening Durham,https://www.hepdata.net/search/?q=JADE+event+shapes+alpha_s+e%2Be-+annihilations+22+44+GeV+thrust+heavy+jet+mass+broadening+Durham&page=1&size=25&format=json,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\hepdata_search_jade_1997_event_shape_22_44_raw_001.json,False,403,0,HTTPError 403: Forbidden,2026-06-02T17:55:34+00:00,2026-06-02T17:55:34+00:00
L3_FLAVOUR_EVENT_SHAPE_197,L3_FLAVOUR_TAGGED_EVENT_SHAPE_197GEV,L3 flavour tagged hadronic event shape e+e- annihilation 197 GeV,https://www.hepdata.net/search/?q=L3+flavour+tagged+hadronic+event+shape+e%2Be-+annihilation+197+GeV&page=1&size=25&format=json,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\hepdata_search_l3_flavour_event_shape_197_raw_001.json,False,403,0,HTTPError 403: Forbidden,2026-06-02T17:55:35+00:00,2026-06-02T17:55:36+00:00
DELPHI_OPEN_DATA_THRUST_EEC_91_2,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,DELPHI open data thrust track energy energy correlator 91.2 GeV,https://www.hepdata.net/search/?q=DELPHI+open+data+thrust+track+energy+energy+correlator+91.2+GeV&page=1&size=25&format=json,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\hepdata_search_delphi_open_data_thrust_eec_91_2_raw_001.json,False,403,0,HTTPError 403: Forbidden,2026-06-02T17:55:37+00:00,2026-06-02T17:55:37+00:00
