target_id,source_id,arxiv_id,source_url,archive_file,success,http_status,size_bytes,sha256,archive_kind,error,started_utc,finished_utc
OPAL_2005_ARXIV_SOURCE_ARCHIVE_001,OPAL_EVENT_SHAPES_91_209GEV_2005,hep-ex/0503051,https://arxiv.org/e-print/hep-ex/0503051,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\01\source_archives\opal_2005_event_shapes_arxiv_source_raw_001.bin,True,200,262663,c1363f08413203bc7f14ffd65f55b45d1fd732308aa1985f00ae3706c393699b,tar,,2026-06-03T07:26:12+00:00,2026-06-03T07:26:13+00:00
JADE_1997_ARXIV_SOURCE_ARCHIVE_001,JADE_EVENT_SHAPES_22_44GEV,hep-ex/9708034,https://arxiv.org/e-print/hep-ex/9708034,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\01\source_archives\jade_1997_event_shapes_arxiv_source_raw_001.bin,True,200,78951,1751491dedc0a13ade363edd2789ce094c3f00d8f9897a43e94ef394cf280b0a,tar,,2026-06-03T07:26:14+00:00,2026-06-03T07:26:14+00:00
L3_2009_ARXIV_SOURCE_ARCHIVE_001,L3_FLAVOUR_TAGGED_EVENT_SHAPE_197GEV,0907.2658,https://arxiv.org/e-print/0907.2658,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\01\source_archives\l3_2009_flavour_event_shapes_arxiv_source_raw_001.bin,True,200,512053,86b3440858ac7b25e296ca777a8162472af902d5a6fcf2c29d09e2c7ab69e657,unknown_binary_or_plain,,2026-06-03T07:26:15+00:00,2026-06-03T07:26:15+00:00
DELPHI_2025_ARXIV_SOURCE_ARCHIVE_001,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,2510.18762,https://arxiv.org/e-print/2510.18762,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\01\source_archives\delphi_2025_open_data_thrust_eec_arxiv_source_raw_001.bin,True,200,10757957,2ac6bf98fa38437ce212b2cd9ec1692972ca3e9fc726f033931a51296c855f09,tar,,2026-06-03T07:26:16+00:00,2026-06-03T07:26:17+00:00
