case_id,source_table,D_w_structural,D_bg_internal_median,sigma_structural,gamma_internal,sigma_structural_robust_units,structural_response_flag,top_weighted_feature_contributions
A001,strong_interaction_minimal_input.csv,0.00019724553352333917,0.4967730741056089,-0.49657582857208554,2.2398361899524866,-1.1122485118913992,below_background_structural_response,mass_gap_fraction_of_system_mass:0.0001972; invariant_mass_MeV_c2:0; constituent_rest_mass_sum_MeV_c2:0
B001,strong_interaction_minimal_input.csv,0.4967730741056089,0.4967730741056089,0.0,2.2398361899524866,0.0,near_background,invariant_mass_MeV_c2:0.2497; mass_gap_MeV_c2:0.2469; mass_gap_fraction_of_system_mass:0.0001972
C001P,strong_interaction_minimal_input.csv,0.9983457898707763,0.4967730741056089,0.5015727157651674,2.2398361899524866,1.123440720663574,above_background_structural_response,invariant_mass_MeV_c2:0.4989; mass_gap_MeV_c2:0.4944; constituent_rest_mass_sum_MeV_c2:0.0049
C001N,strong_interaction_minimal_input.csv,0.9994687342280346,0.4967730741056089,0.5026956601224257,2.2398361899524866,1.1259559320742643,above_background_structural_response,invariant_mass_MeV_c2:0.4994; mass_gap_MeV_c2:0.4938; constituent_rest_mass_sum_MeV_c2:0.006004
D001,strong_interaction_minimal_input.csv,0.0009900502028239752,0.4967730741056089,-0.4957830239027849,2.2398361899524866,-1.1104727593015362,below_background_structural_response,constituent_rest_mass_sum_MeV_c2:0.0005552; invariant_mass_MeV_c2:0.0004348; mass_gap_MeV_c2:0
