case_id,feature__invariant_mass_MeV_c2,feature__constituent_rest_mass_sum_MeV_c2,feature__mass_gap_MeV_c2,feature__mass_gap_fraction_of_system_mass
A001,0.0,0.0,0.0,0.9972837430868069
B001,0.49988442817176854,0.0,0.4994632232665444,0.9972837430868069
C001P,0.9988982395080834,0.8161418747737227,0.9999999999999989,0.9999999999987379
C001N,0.9999999999999989,0.9999999999999095,0.9989264465330888,0.9972837430868069
D001,0.000870616835453572,0.09247176076727356,0.0,0.0
