record_candidate_id,recid,query,title,api_url,web_url,score,decision,reasons,detected_event_count,file_dict_count,filelike_count,file_examples,description_preview,created_utc
CERN_DELPHI_RECORD_delphi-data-release-2024,delphi-data-release-2024,DELPHI events,DELPHI Collaboration releases its entire data collection,https://opendata.cern.ch/api/docs/delphi-data-release-2024,https://opendata.cern.ch/record/delphi-data-release-2024,7,review_record_candidate,delphi_context;event_or_data_hint;support_or_doc_hint;filelike_metadata_present;documentation_hint,,0,4,,,2026-06-04T11:30:55+00:00
CERN_DELPHI_RECORD_81507,81507,DELPHI event data,DELPHI collision data rawd_1,https://opendata.cern.ch/api/records/81507,https://opendata.cern.ch/record/81507,6,review_record_candidate,delphi_context;event_or_data_hint;support_or_doc_hint;filelike_metadata_present;documentation_hint,,3,3,"{""formats"": [""RAWD""], ""number_events"": 21091350, ""number_files"": 9999, ""size"": 1410842653261}",{'description': 'RAW data of ALL events; LEP1 data'},2026-06-04T11:30:45+00:00
CERN_DELPHI_RECORD_93080,93080,DELPHI event data,DELPHI collision data rawd_2,https://opendata.cern.ch/api/records/93080,https://opendata.cern.ch/record/93080,6,review_record_candidate,delphi_context;event_or_data_hint;support_or_doc_hint;filelike_metadata_present;documentation_hint,,3,3,"{""formats"": [""RAWD""], ""number_events"": 23318916, ""number_files"": 9434, ""size"": 1336944716640}",{'description': 'RAW data of ALL events; LEP2 data'},2026-06-04T11:30:47+00:00
