source_id,quantity,value_raw,uncertainty_raw,unit_raw,raw_line
NIST_CODATA_2022_ALLASCII,helion mass energy equivalent in MeV,2808.391 611 12,0.000 000 88,MeV,helion mass energy equivalent in MeV                        2808.391 611 12          0.000 000 88             MeV
NIST_CODATA_2022_ALLASCII,helion mass in u,3.014 932 246 932,0.000 000 000 074,u,helion mass in u                                            3.014 932 246 932        0.000 000 000 074        u
NIST_CODATA_2022_ALLASCII,helion molar mass,3.014 932 250 10 e-3,0.000 000 000 94 e-3,kg mol^-1,helion molar mass                                           3.014 932 250 10 e-3     0.000 000 000 94 e-3     kg mol^-1
NIST_CODATA_2022_ALLASCII,helion-proton mass ratio,2.993 152 671 552,0.000 000 000 070,,helion-proton mass ratio                                    2.993 152 671 552        0.000 000 000 070        
NIST_CODATA_2022_ALLASCII,helion relative atomic mass,3.014 932 246 932,0.000 000 000 074,,helion relative atomic mass                                 3.014 932 246 932        0.000 000 000 074        
NIST_CODATA_2022_ALLASCII,helion shielding shift,5.996 7029 e-5,0.000 0023 e-5,,helion shielding shift                                      5.996 7029 e-5           0.000 0023 e-5           
NIST_CODATA_2022_ALLASCII,hertz-atomic mass unit relationship,4.439 821 6590 e-24,0.000 000 0014 e-24,u,hertz-atomic mass unit relationship                         4.439 821 6590 e-24      0.000 000 0014 e-24      u
NIST_CODATA_2022_ALLASCII,hertz-electron volt relationship,4.135 667 696... e-15,(exact),eV,hertz-electron volt relationship                            4.135 667 696... e-15    (exact)                  eV
NIST_CODATA_2022_ALLASCII,hertz-hartree relationship,1.519 829 846 0574 e-16,0.000 000 000 0017 e-16,E_h,hertz-hartree relationship                                  1.519 829 846 0574 e-16  0.000 000 000 0017 e-16  E_h
NIST_CODATA_2022_ALLASCII,hertz-inverse meter relationship,3.335 640 951... e-9,(exact),m^-1,hertz-inverse meter relationship                            3.335 640 951... e-9     (exact)                  m^-1
NIST_CODATA_2022_ALLASCII,hertz-joule relationship,6.626 070 15 e-34,(exact),J,hertz-joule relationship                                    6.626 070 15 e-34        (exact)                  J
NIST_CODATA_2022_ALLASCII,hertz-kelvin relationship,4.799 243 073... e-11,(exact),K,hertz-kelvin relationship                                   4.799 243 073... e-11    (exact)                  K
NIST_CODATA_2022_ALLASCII,hertz-kilogram relationship,7.372 497 323... e-51,(exact),kg,hertz-kilogram relationship                                 7.372 497 323... e-51    (exact)                  kg
NIST_CODATA_2022_ALLASCII,hyperfine transition frequency of Cs-133,9 192 631 770,(exact),Hz,hyperfine transition frequency of Cs-133                    9 192 631 770            (exact)                  Hz
NIST_CODATA_2022_ALLASCII,inverse fine-structure constant,137.035 999 177,0.000 000 021,,inverse fine-structure constant                             137.035 999 177          0.000 000 021            
NIST_CODATA_2022_ALLASCII,inverse meter-atomic mass unit relationship,1.331 025 048 24 e-15,0.000 000 000 41 e-15,u,inverse meter-atomic mass unit relationship                 1.331 025 048 24 e-15    0.000 000 000 41 e-15    u
NIST_CODATA_2022_ALLASCII,inverse meter-electron volt relationship,1.239 841 984... e-6,(exact),eV,inverse meter-electron volt relationship                    1.239 841 984... e-6     (exact)                  eV
NIST_CODATA_2022_ALLASCII,inverse meter-hartree relationship,4.556 335 252 9132 e-8,0.000 000 000 0050 e-8,E_h,inverse meter-hartree relationship                          4.556 335 252 9132 e-8   0.000 000 000 0050 e-8   E_h
NIST_CODATA_2022_ALLASCII,inverse meter-hertz relationship,299 792 458,(exact),Hz,inverse meter-hertz relationship                            299 792 458              (exact)                  Hz
NIST_CODATA_2022_ALLASCII,inverse meter-joule relationship,1.986 445 857... e-25,(exact),J,inverse meter-joule relationship                            1.986 445 857... e-25    (exact)                  J
NIST_CODATA_2022_ALLASCII,inverse meter-kelvin relationship,1.438 776 877... e-2,(exact),K,inverse meter-kelvin relationship                           1.438 776 877... e-2     (exact)                  K
NIST_CODATA_2022_ALLASCII,inverse meter-kilogram relationship,2.210 219 094... e-42,(exact),kg,inverse meter-kilogram relationship                         2.210 219 094... e-42    (exact)                  kg
NIST_CODATA_2022_ALLASCII,inverse of conductance quantum,12 906.403 72...,(exact),ohm,inverse of conductance quantum                              12 906.403 72...         (exact)                  ohm
NIST_CODATA_2022_ALLASCII,Josephson constant,483 597.848 4... e9,(exact),Hz V^-1,Josephson constant                                          483 597.848 4... e9      (exact)                  Hz V^-1
NIST_CODATA_2022_ALLASCII,joule-atomic mass unit relationship,6.700 535 2471 e9,0.000 000 0021 e9,u,joule-atomic mass unit relationship                         6.700 535 2471 e9        0.000 000 0021 e9        u
NIST_CODATA_2022_ALLASCII,joule-electron volt relationship,6.241 509 074... e18,(exact),eV,joule-electron volt relationship                            6.241 509 074... e18     (exact)                  eV
NIST_CODATA_2022_ALLASCII,joule-hartree relationship,2.293 712 278 3969 e17,0.000 000 000 0025 e17,E_h,joule-hartree relationship                                  2.293 712 278 3969 e17   0.000 000 000 0025 e17   E_h
NIST_CODATA_2022_ALLASCII,joule-hertz relationship,1.509 190 179... e33,(exact),Hz,joule-hertz relationship                                    1.509 190 179... e33     (exact)                  Hz
NIST_CODATA_2022_ALLASCII,joule-inverse meter relationship,5.034 116 567... e24,(exact),m^-1,joule-inverse meter relationship                            5.034 116 567... e24     (exact)                  m^-1
NIST_CODATA_2022_ALLASCII,joule-kelvin relationship,7.242 970 516... e22,(exact),K,joule-kelvin relationship                                   7.242 970 516... e22     (exact)                  K
NIST_CODATA_2022_ALLASCII,joule-kilogram relationship,1.112 650 056... e-17,(exact),kg,joule-kilogram relationship                                 1.112 650 056... e-17    (exact)                  kg
NIST_CODATA_2022_ALLASCII,kelvin-atomic mass unit relationship,9.251 087 2884 e-14,0.000 000 0029 e-14,u,kelvin-atomic mass unit relationship                        9.251 087 2884 e-14      0.000 000 0029 e-14      u
NIST_CODATA_2022_ALLASCII,kelvin-electron volt relationship,8.617 333 262... e-5,(exact),eV,kelvin-electron volt relationship                           8.617 333 262... e-5     (exact)                  eV
NIST_CODATA_2022_ALLASCII,kelvin-hartree relationship,3.166 811 563 4564 e-6,0.000 000 000 0035 e-6,E_h,kelvin-hartree relationship                                 3.166 811 563 4564 e-6   0.000 000 000 0035 e-6   E_h
NIST_CODATA_2022_ALLASCII,kelvin-hertz relationship,2.083 661 912... e10,(exact),Hz,kelvin-hertz relationship                                   2.083 661 912... e10     (exact)                  Hz
NIST_CODATA_2022_ALLASCII,kelvin-inverse meter relationship,69.503 480 04...,(exact),m^-1,kelvin-inverse meter relationship                           69.503 480 04...         (exact)                  m^-1
NIST_CODATA_2022_ALLASCII,kelvin-joule relationship,1.380 649 e-23,(exact),J,kelvin-joule relationship                                   1.380 649 e-23           (exact)                  J
NIST_CODATA_2022_ALLASCII,kelvin-kilogram relationship,1.536 179 187... e-40,(exact),kg,kelvin-kilogram relationship                                1.536 179 187... e-40    (exact)                  kg
NIST_CODATA_2022_ALLASCII,kilogram-atomic mass unit relationship,6.022 140 7537 e26,0.000 000 0019 e26,u,kilogram-atomic mass unit relationship                      6.022 140 7537 e26       0.000 000 0019 e26       u
NIST_CODATA_2022_ALLASCII,kilogram-electron volt relationship,5.609 588 603... e35,(exact),eV,kilogram-electron volt relationship                         5.609 588 603... e35     (exact)                  eV
NIST_CODATA_2022_ALLASCII,kilogram-hartree relationship,2.061 485 788 7415 e34,0.000 000 000 0022 e34,E_h,kilogram-hartree relationship                               2.061 485 788 7415 e34   0.000 000 000 0022 e34   E_h
NIST_CODATA_2022_ALLASCII,kilogram-hertz relationship,1.356 392 489... e50,(exact),Hz,kilogram-hertz relationship                                 1.356 392 489... e50     (exact)                  Hz
NIST_CODATA_2022_ALLASCII,kilogram-inverse meter relationship,4.524 438 335... e41,(exact),m^-1,kilogram-inverse meter relationship                         4.524 438 335... e41     (exact)                  m^-1
NIST_CODATA_2022_ALLASCII,kilogram-joule relationship,8.987 551 787... e16,(exact),J,kilogram-joule relationship                                 8.987 551 787... e16     (exact)                  J
NIST_CODATA_2022_ALLASCII,kilogram-kelvin relationship,6.509 657 260... e39,(exact),K,kilogram-kelvin relationship                                6.509 657 260... e39     (exact)                  K
NIST_CODATA_2022_ALLASCII,lattice parameter of silicon,5.431 020 511 e-10,0.000 000 089 e-10,m,lattice parameter of silicon                                5.431 020 511 e-10       0.000 000 089 e-10       m
NIST_CODATA_2022_ALLASCII,lattice spacing of ideal Si (220),1.920 155 716 e-10,0.000 000 032 e-10,m,lattice spacing of ideal Si (220)                           1.920 155 716 e-10       0.000 000 032 e-10       m
