source_id,quantity,value_raw,uncertainty_raw,unit_raw,raw_line
NIST_CODATA_2022_ALLASCII,deuteron g factor,0.857 438 2335,0.000 000 0022,,deuteron g factor                                           0.857 438 2335           0.000 000 0022           
NIST_CODATA_2022_ALLASCII,deuteron mag. mom.,4.330 735 087 e-27,0.000 000 011 e-27,J T^-1,deuteron mag. mom.                                          4.330 735 087 e-27       0.000 000 011 e-27       J T^-1
NIST_CODATA_2022_ALLASCII,deuteron mag. mom. to Bohr magneton ratio,4.669 754 568 e-4,0.000 000 012 e-4,,deuteron mag. mom. to Bohr magneton ratio                   4.669 754 568 e-4        0.000 000 012 e-4        
NIST_CODATA_2022_ALLASCII,deuteron mag. mom. to nuclear magneton ratio,0.857 438 2335,0.000 000 0022,,deuteron mag. mom. to nuclear magneton ratio                0.857 438 2335           0.000 000 0022           
NIST_CODATA_2022_ALLASCII,deuteron mass,3.343 583 7768 e-27,0.000 000 0010 e-27,kg,deuteron mass                                               3.343 583 7768 e-27      0.000 000 0010 e-27      kg
NIST_CODATA_2022_ALLASCII,deuteron mass energy equivalent,3.005 063 234 91 e-10,0.000 000 000 94 e-10,J,deuteron mass energy equivalent                             3.005 063 234 91 e-10    0.000 000 000 94 e-10    J
NIST_CODATA_2022_ALLASCII,deuteron mass energy equivalent in MeV,1875.612 945 00,0.000 000 58,MeV,deuteron mass energy equivalent in MeV                      1875.612 945 00          0.000 000 58             MeV
NIST_CODATA_2022_ALLASCII,deuteron mass in u,2.013 553 212 544,0.000 000 000 015,u,deuteron mass in u                                          2.013 553 212 544        0.000 000 000 015        u
NIST_CODATA_2022_ALLASCII,deuteron molar mass,2.013 553 214 66 e-3,0.000 000 000 63 e-3,kg mol^-1,deuteron molar mass                                         2.013 553 214 66 e-3     0.000 000 000 63 e-3     kg mol^-1
NIST_CODATA_2022_ALLASCII,deuteron-neutron mag. mom. ratio,-0.448 206 52,0.000 000 11,,deuteron-neutron mag. mom. ratio                            -0.448 206 52            0.000 000 11             
NIST_CODATA_2022_ALLASCII,deuteron-proton mag. mom. ratio,0.307 012 209 30,0.000 000 000 79,,deuteron-proton mag. mom. ratio                             0.307 012 209 30         0.000 000 000 79         
NIST_CODATA_2022_ALLASCII,deuteron-proton mass ratio,1.999 007 501 2699,0.000 000 000 0084,,deuteron-proton mass ratio                                  1.999 007 501 2699       0.000 000 000 0084       
NIST_CODATA_2022_ALLASCII,deuteron relative atomic mass,2.013 553 212 544,0.000 000 000 015,,deuteron relative atomic mass                               2.013 553 212 544        0.000 000 000 015        
NIST_CODATA_2022_ALLASCII,deuteron rms charge radius,2.127 78 e-15,0.000 27 e-15,m,deuteron rms charge radius                                  2.127 78 e-15            0.000 27 e-15            m
NIST_CODATA_2022_ALLASCII,electron charge to mass quotient,-1.758 820 008 38 e11,0.000 000 000 55 e11,C kg^-1,electron charge to mass quotient                            -1.758 820 008 38 e11    0.000 000 000 55 e11     C kg^-1
NIST_CODATA_2022_ALLASCII,electron-deuteron mag. mom. ratio,-2143.923 4921,0.000 0056,,electron-deuteron mag. mom. ratio                           -2143.923 4921           0.000 0056               
NIST_CODATA_2022_ALLASCII,electron-deuteron mass ratio,2.724 437 107 629 e-4,0.000 000 000 047 e-4,,electron-deuteron mass ratio                                2.724 437 107 629 e-4    0.000 000 000 047 e-4    
NIST_CODATA_2022_ALLASCII,electron g factor,-2.002 319 304 360 92,0.000 000 000 000 36,,electron g factor                                           -2.002 319 304 360 92    0.000 000 000 000 36     
NIST_CODATA_2022_ALLASCII,electron gyromag. ratio,1.760 859 627 84 e11,0.000 000 000 55 e11,s^-1 T^-1,electron gyromag. ratio                                     1.760 859 627 84 e11     0.000 000 000 55 e11     s^-1 T^-1
NIST_CODATA_2022_ALLASCII,electron gyromag. ratio in MHz/T,28 024.951 3861,0.000 0087,MHz T^-1,electron gyromag. ratio in MHz/T                            28 024.951 3861          0.000 0087               MHz T^-1
NIST_CODATA_2022_ALLASCII,electron-helion mass ratio,1.819 543 074 649 e-4,0.000 000 000 053 e-4,,electron-helion mass ratio                                  1.819 543 074 649 e-4    0.000 000 000 053 e-4    
NIST_CODATA_2022_ALLASCII,electron mag. mom.,-9.284 764 6917 e-24,0.000 000 0029 e-24,J T^-1,electron mag. mom.                                          -9.284 764 6917 e-24     0.000 000 0029 e-24      J T^-1
NIST_CODATA_2022_ALLASCII,electron mag. mom. anomaly,1.159 652 180 46 e-3,0.000 000 000 18 e-3,,electron mag. mom. anomaly                                  1.159 652 180 46 e-3     0.000 000 000 18 e-3     
NIST_CODATA_2022_ALLASCII,electron mag. mom. to Bohr magneton ratio,-1.001 159 652 180 46,0.000 000 000 000 18,,electron mag. mom. to Bohr magneton ratio                   -1.001 159 652 180 46    0.000 000 000 000 18     
NIST_CODATA_2022_ALLASCII,electron mag. mom. to nuclear magneton ratio,-1838.281 971 877,0.000 000 032,,electron mag. mom. to nuclear magneton ratio                -1838.281 971 877        0.000 000 032            
NIST_CODATA_2022_ALLASCII,electron mass,9.109 383 7139 e-31,0.000 000 0028 e-31,kg,electron mass                                               9.109 383 7139 e-31      0.000 000 0028 e-31      kg
NIST_CODATA_2022_ALLASCII,electron mass energy equivalent,8.187 105 7880 e-14,0.000 000 0026 e-14,J,electron mass energy equivalent                             8.187 105 7880 e-14      0.000 000 0026 e-14      J
NIST_CODATA_2022_ALLASCII,electron mass energy equivalent in MeV,0.510 998 950 69,0.000 000 000 16,MeV,electron mass energy equivalent in MeV                      0.510 998 950 69         0.000 000 000 16         MeV
NIST_CODATA_2022_ALLASCII,electron mass in u,5.485 799 090 441 e-4,0.000 000 000 097 e-4,u,electron mass in u                                          5.485 799 090 441 e-4    0.000 000 000 097 e-4    u
NIST_CODATA_2022_ALLASCII,electron molar mass,5.485 799 0962 e-7,0.000 000 0017 e-7,kg mol^-1,electron molar mass                                         5.485 799 0962 e-7       0.000 000 0017 e-7       kg mol^-1
NIST_CODATA_2022_ALLASCII,electron-muon mag. mom. ratio,206.766 9881,0.000 0046,,electron-muon mag. mom. ratio                               206.766 9881             0.000 0046               
NIST_CODATA_2022_ALLASCII,electron-muon mass ratio,4.836 331 70 e-3,0.000 000 11 e-3,,electron-muon mass ratio                                    4.836 331 70 e-3         0.000 000 11 e-3         
NIST_CODATA_2022_ALLASCII,electron-neutron mag. mom. ratio,960.920 48,0.000 23,,electron-neutron mag. mom. ratio                            960.920 48               0.000 23                 
NIST_CODATA_2022_ALLASCII,electron-neutron mass ratio,5.438 673 4416 e-4,0.000 000 0022 e-4,,electron-neutron mass ratio                                 5.438 673 4416 e-4       0.000 000 0022 e-4       
NIST_CODATA_2022_ALLASCII,electron-proton mag. mom. ratio,-658.210 687 89,0.000 000 19,,electron-proton mag. mom. ratio                             -658.210 687 89          0.000 000 19             
NIST_CODATA_2022_ALLASCII,electron-proton mass ratio,5.446 170 214 889 e-4,0.000 000 000 094 e-4,,electron-proton mass ratio                                  5.446 170 214 889 e-4    0.000 000 000 094 e-4    
NIST_CODATA_2022_ALLASCII,electron relative atomic mass,5.485 799 090 441 e-4,0.000 000 000 097 e-4,,electron relative atomic mass                               5.485 799 090 441 e-4    0.000 000 000 097 e-4    
NIST_CODATA_2022_ALLASCII,electron-tau mass ratio,2.875 85 e-4,0.000 19 e-4,,electron-tau mass ratio                                     2.875 85 e-4             0.000 19 e-4             
NIST_CODATA_2022_ALLASCII,electron to alpha particle mass ratio,1.370 933 554 733 e-4,0.000 000 000 032 e-4,,electron to alpha particle mass ratio                       1.370 933 554 733 e-4    0.000 000 000 032 e-4    
NIST_CODATA_2022_ALLASCII,electron to shielded helion mag. mom. ratio,864.058 239 86,0.000 000 70,,electron to shielded helion mag. mom. ratio                 864.058 239 86           0.000 000 70             
NIST_CODATA_2022_ALLASCII,electron to shielded proton mag. mom. ratio,-658.227 5856,0.000 0027,,electron to shielded proton mag. mom. ratio                 -658.227 5856            0.000 0027               
NIST_CODATA_2022_ALLASCII,electron-triton mass ratio,1.819 200 062 327 e-4,0.000 000 000 068 e-4,,electron-triton mass ratio                                  1.819 200 062 327 e-4    0.000 000 000 068 e-4    
NIST_CODATA_2022_ALLASCII,electron volt,1.602 176 634 e-19,(exact),J,electron volt                                               1.602 176 634 e-19       (exact)                  J
NIST_CODATA_2022_ALLASCII,electron volt-atomic mass unit relationship,1.073 544 100 83 e-9,0.000 000 000 33 e-9,u,electron volt-atomic mass unit relationship                 1.073 544 100 83 e-9     0.000 000 000 33 e-9     u
NIST_CODATA_2022_ALLASCII,electron volt-hartree relationship,3.674 932 217 5665 e-2,0.000 000 000 0040 e-2,E_h,electron volt-hartree relationship                          3.674 932 217 5665 e-2   0.000 000 000 0040 e-2   E_h
NIST_CODATA_2022_ALLASCII,electron volt-hertz relationship,2.417 989 242... e14,(exact),Hz,electron volt-hertz relationship                            2.417 989 242... e14     (exact)                  Hz
NIST_CODATA_2022_ALLASCII,electron volt-inverse meter relationship,8.065 543 937... e5,(exact),m^-1,electron volt-inverse meter relationship                    8.065 543 937... e5      (exact)                  m^-1
NIST_CODATA_2022_ALLASCII,electron volt-joule relationship,1.602 176 634 e-19,(exact),J,electron volt-joule relationship                            1.602 176 634 e-19       (exact)                  J
NIST_CODATA_2022_ALLASCII,electron volt-kelvin relationship,1.160 451 812... e4,(exact),K,electron volt-kelvin relationship                           1.160 451 812... e4      (exact)                  K
NIST_CODATA_2022_ALLASCII,electron volt-kilogram relationship,1.782 661 921... e-36,(exact),kg,electron volt-kilogram relationship                         1.782 661 921... e-36    (exact)                  kg
NIST_CODATA_2022_ALLASCII,elementary charge,1.602 176 634 e-19,(exact),C,elementary charge                                           1.602 176 634 e-19       (exact)                  C
NIST_CODATA_2022_ALLASCII,elementary charge over h-bar,1.519 267 447... e15,(exact),A J^-1,elementary charge over h-bar                                1.519 267 447... e15     (exact)                  A J^-1
NIST_CODATA_2022_ALLASCII,Faraday constant,96 485.332 12...,(exact),C mol^-1,Faraday constant                                            96 485.332 12...         (exact)                  C mol^-1
NIST_CODATA_2022_ALLASCII,Fermi coupling constant,1.166 3787 e-5,0.000 0006 e-5,GeV^-2,Fermi coupling constant                                     1.166 3787 e-5           0.000 0006 e-5           GeV^-2
NIST_CODATA_2022_ALLASCII,fine-structure constant,7.297 352 5643 e-3,0.000 000 0011 e-3,,fine-structure constant                                     7.297 352 5643 e-3       0.000 000 0011 e-3       
NIST_CODATA_2022_ALLASCII,first radiation constant,3.741 771 852... e-16,(exact),W m^2,first radiation constant                                    3.741 771 852... e-16    (exact)                  W m^2
NIST_CODATA_2022_ALLASCII,first radiation constant for spectral radiance,1.191 042 972... e-16,(exact),W m^2 sr^-1,first radiation constant for spectral radiance              1.191 042 972... e-16    (exact)                  W m^2 sr^-1
NIST_CODATA_2022_ALLASCII,hartree-atomic mass unit relationship,2.921 262 317 97 e-8,0.000 000 000 91 e-8,u,hartree-atomic mass unit relationship                       2.921 262 317 97 e-8     0.000 000 000 91 e-8     u
NIST_CODATA_2022_ALLASCII,hartree-electron volt relationship,27.211 386 245 981,0.000 000 000 030,eV,hartree-electron volt relationship                          27.211 386 245 981       0.000 000 000 030        eV
NIST_CODATA_2022_ALLASCII,Hartree energy,4.359 744 722 2060 e-18,0.000 000 000 0048 e-18,J,Hartree energy                                              4.359 744 722 2060 e-18  0.000 000 000 0048 e-18  J
NIST_CODATA_2022_ALLASCII,Hartree energy in eV,27.211 386 245 981,0.000 000 000 030,eV,Hartree energy in eV                                        27.211 386 245 981       0.000 000 000 030        eV
NIST_CODATA_2022_ALLASCII,hartree-hertz relationship,6.579 683 920 4999 e15,0.000 000 000 0072 e15,Hz,hartree-hertz relationship                                  6.579 683 920 4999 e15   0.000 000 000 0072 e15   Hz
NIST_CODATA_2022_ALLASCII,hartree-inverse meter relationship,2.194 746 313 6314 e7,0.000 000 000 0024 e7,m^-1,hartree-inverse meter relationship                          2.194 746 313 6314 e7    0.000 000 000 0024 e7    m^-1
NIST_CODATA_2022_ALLASCII,hartree-joule relationship,4.359 744 722 2060 e-18,0.000 000 000 0048 e-18,J,hartree-joule relationship                                  4.359 744 722 2060 e-18  0.000 000 000 0048 e-18  J
NIST_CODATA_2022_ALLASCII,hartree-kelvin relationship,3.157 750 248 0398 e5,0.000 000 000 0034 e5,K,hartree-kelvin relationship                                 3.157 750 248 0398 e5    0.000 000 000 0034 e5    K
NIST_CODATA_2022_ALLASCII,hartree-kilogram relationship,4.850 870 209 5419 e-35,0.000 000 000 0053 e-35,kg,hartree-kilogram relationship                               4.850 870 209 5419 e-35  0.000 000 000 0053 e-35  kg
NIST_CODATA_2022_ALLASCII,helion-electron mass ratio,5495.885 279 84,0.000 000 16,,helion-electron mass ratio                                  5495.885 279 84          0.000 000 16             
NIST_CODATA_2022_ALLASCII,helion g factor,-4.255 250 6995,0.000 000 0034,,helion g factor                                             -4.255 250 6995          0.000 000 0034           
NIST_CODATA_2022_ALLASCII,helion mag. mom.,-1.074 617 551 98 e-26,0.000 000 000 93 e-26,J T^-1,helion mag. mom.                                            -1.074 617 551 98 e-26   0.000 000 000 93 e-26    J T^-1
NIST_CODATA_2022_ALLASCII,helion mag. mom. to Bohr magneton ratio,-1.158 740 980 83 e-3,0.000 000 000 94 e-3,,helion mag. mom. to Bohr magneton ratio                     -1.158 740 980 83 e-3    0.000 000 000 94 e-3     
NIST_CODATA_2022_ALLASCII,helion mag. mom. to nuclear magneton ratio,-2.127 625 3498,0.000 000 0017,,helion mag. mom. to nuclear magneton ratio                  -2.127 625 3498          0.000 000 0017           
NIST_CODATA_2022_ALLASCII,helion mass,5.006 412 7862 e-27,0.000 000 0016 e-27,kg,helion mass                                                 5.006 412 7862 e-27      0.000 000 0016 e-27      kg
NIST_CODATA_2022_ALLASCII,helion mass energy equivalent,4.499 539 4185 e-10,0.000 000 0014 e-10,J,helion mass energy equivalent                               4.499 539 4185 e-10      0.000 000 0014 e-10      J
