case,M_kg,rho_kg_m3,provenance,L_rho_m,Lambda_X_m_per_kg,K0_m3_kg-1_s-2,K0_over_Gref,F_required_if_forced_to_Gref
one_kg_reference,1.0,1000.0,project_reference,1.0000000000000002e-01,1.0000000000000002e-01,8.9875517873681780e+15,1.3465909215001091e+26,7.4261602691186634e-27
Earth_mean,5.97217e24,5513.4,previous_planetary_dataset,1.0270010474909822e+07,1.7196446978083046e-18,1.5455395777425235e-01,2.3156579382744613e+09,4.3184271021701994e-10
Sun_mean,1.98847e30,1408.0,previous_stellar_reference,1.1219464518701942e+09,5.6422598876030025e-22,5.0710102937622131e-05,7.5978159413904289e+05,1.3161677088705525e-06
SMS_1e4Msun_average_proxy,1.98847e34,1.42e-6,previous_SMS_proxy,2.4103321832910652e+13,1.2121541603801240e-21,1.0894298290690154e-04,1.6322757878264620e+06,6.1264156918703047e-07
