framework,candidate,mass_GeV,A_prime_GeV-2,r_A_fm,abs_D0,ell_over_m_fm_per_GeV,frozen_absD_ell_over_m_fm_per_GeV,source,required_F_K_over_pi_for_universality,observed_absD_K_over_pi,frozen_candidate_K_over_pi,missing_dimensionless_factor_K_over_pi
NJL_2026,pion,1.380000000000e-01,4.542870340554e-01,3.257821357902e-01,9.667399879340e-01,2.360740114421e+00,2.282221869731e+00,https://arxiv.org/abs/2608.29848,3.587359098229e+00,7.116109244365e-01,1.983662368197e-01,5.041180475228e+00
NJL_2026,kaon,4.690000000000e-01,4.077257590968e-01,3.086357075907e-01,6.879427365035e-01,6.580718711955e-01,4.527157638862e-01,https://arxiv.org/abs/2608.29848,3.587359098229e+00,7.116109244365e-01,1.983662368197e-01,5.041180475228e+00
CSM_2024,pion,1.350000000000e-01,9.455217538475e-01,4.700000000000e-01,9.700000000000e-01,3.481481481481e+00,3.377037037037e+00,https://link.springer.com/article/10.1140/epjc/s10052-024-12518-x,4.308333333333e+00,7.938144329897e-01,1.842509322220e-01,5.427380952381e+00
CSM_2024,kaon,4.950000000000e-01,6.848505233843e-01,4.000000000000e-01,7.700000000000e-01,8.080808080808e-01,6.222222222222e-01,https://link.springer.com/article/10.1140/epjc/s10052-024-12518-x,4.308333333333e+00,7.938144329897e-01,1.842509322220e-01,5.427380952381e+00
