d,M,L_sum,specific_measure_v_per_m,kappa_inv,kappa_macro_equivalent,kappa_macro_ratio,regroup_kappa_ratio,resolution_kappa_ratio,regroup_mass_ratio,regroup_measure_ratio,packing_factor,regroup_packing_ratio
1,2.4000000000000000e+02,3.6000000000000000e+02,1.5000000000000000e+00,1.1574074074074073e-05,1.1574074074074075e-05,9.9999999999999989e-01,9.9999999999999989e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,6.6666666666666663e-01,1.0000000000000000e+00
2,2.4000000000000000e+02,3.2863353450309965e+01,4.5000000000000000e+00,4.1666666666666666e-03,4.1666666666666666e-03,1.0000000000000000e+00,9.9999999999999978e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.4444444444444453e-01,1.0000000000000000e+00
3,2.4000000000000000e+02,1.4797272445982818e+01,1.3500000000000000e+01,6.1655301858261760e-02,6.1655301858261740e-02,1.0000000000000004e+00,9.9999999999999967e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.9629629629629650e-01,1.0000000000000000e+00
4,2.4000000000000000e+02,9.9292527589406190e+00,4.0500000000000000e+01,4.1079191812887456e-01,4.1079191812887456e-01,1.0000000000000000e+00,1.0000000000000002e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.9753086419753096e-01,1.0000000000000000e+00
5,2.4000000000000000e+02,7.8155132540920570e+00,1.2150000000000000e+02,1.9891213097456129e+00,1.9891213097456140e+00,9.9999999999999944e-01,1.0000000000000002e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.3168724279835380e-01,1.0000000000000000e+00
6,2.4000000000000000e+02,6.6627184645569750e+00,3.6450000000000000e+02,8.2109726940240910e+00,8.2109726940240880e+00,1.0000000000000004e+00,9.9999999999999956e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.7791495198902630e-02,1.0000000000000000e+00
