body,D1_M_over_R,D1_rel_Earth,vesc2_rel_Earth,D1_vs_vesc2_pct,D2_M_over_R2,D2_rel_Earth,gravity_rel_Earth,D2_vs_g_pct,D3_M_over_R3,D3_rel_Earth,density_rel_Earth,D3_vs_rho_pct
Mercury,1.353213905058621e+17,0.14435853560975787,0.14425061952895835,0.07481151980623935,55473227230.40998,0.37702281010964445,0.37755102040816324,-0.13990434933740525,22740.521124214963,0.9846747110765558,0.9846737040664563,0.00010226840581051277
Venus,8.042747612280644e+17,0.8579865040164618,0.8571549505215383,0.0970132056540729,132898437031.6376,0.9032418824441509,0.9051020408163264,-0.20551918880856723,21960.150208473115,0.950884302237929,0.9509558530126602,-0.0075240900515582965
Earth,9.373979164742586e+17,1.0,1.0,0.0,147134936515.58496,1.0,1.0,0.0,23094.450246774897,1.0,1.0,0.0
Mars,1.8931730343708512e+17,0.20196044828982065,0.20205788233302271,-0.04822085734892401,55854050283.84278,0.37961106727311195,0.37857142857142856,0.27462154384090276,16478.551492504143,0.7135286320489637,0.7135342982551602,-0.0007941042512560337
Jupiter,2.715059146629286e+19,28.96378473766154,28.94228457842083,0.07428632381267786,388359363566.43243,2.6394775623211437,2.5295918367346935,4.3440101280646015,5555.0537621609255,0.2405363064633539,0.24054122682917983,-0.002045539507222749
Saturn,9.759530842148647e+18,10.411299908640931,10.401921957320189,0.09015594771062396,167597383606.06964,1.139072660613934,1.0653061224489795,6.924445153415282,2878.097671487664,0.124622913329127,0.12462364421228281,-0.0005864723026105523
Uranus,3.4228333727624003e+18,3.6514198640811606,3.65052417380832,0.024535935942204823,134959126755.08241,0.9172473237910233,0.9051020408163264,1.3418689194140798,5321.312465699961,0.23041520403557011,0.23034787971124898,0.02922723856000342
Neptune,4.1592559499634473e+18,4.4370228233568545,4.432925158985146,0.09243703028467554,168924374541.60696,1.1480915310940716,1.1377551020408163,0.9084933158914898,6860.708900235845,0.2970717565010638,0.29709435194254,-0.0076054766199540325
Ceres,1997905045773898.2,0.0021313307941716146,0.0020772089212170003,2.605509364118519,4253576848.571212,0.028909360001801207,0.027551020408163266,4.930269636167339,9055.943897320018,0.3921264113478807,0.39213552435883486,-0.0023239442458300452
