label,Mfrac,Rfrac,T_K,rho_g_cm3,X_H1,Y_He4,X_He3,X_C12,X_N14,X_O16,slope_rel_surface,enclosed_depth_proxy_rel_surface,mean_density_proxy_rel_solar_mean,rho_kg_m3
inner_0.00649R,2.98e-05,0.00649,15700000.0,153.1,0.33984,0.64034,7.3e-06,2.41e-05,0.00547,0.00865,0.7075006944427956,0.004591679506933744,109.01397449041535,153100.0
inner_0.07759R,0.0402588,0.07759,13970000.0,105.4,0.48185,0.49859,2.53e-05,1.73e-05,0.00493,0.00908,6.687277139140753,0.518865833225931,86.18735841140293,105400.0
inner_0.17103R,0.2517256,0.17103,10370000.0,46.37,0.66095,0.31973,0.000252,0.00172,0.0023,0.00891,8.60563244984766,1.4718213178974449,50.3165085063887,46370.0
mid_0.41974R,0.8158321,0.41974,4863000.0,3.155,0.71305,0.26822,0.000215,0.00315,0.000934,0.00865,4.6306299123712,1.9436605994186875,11.032138734386049,3155.0
czbase_0.71805R,0.9769551,0.71805,2136000.0,0.1793,0.73963,0.24335,0.0001,0.00288,0.000854,0.00791,1.8948080943696204,1.3605669521621058,2.638824725812437,179.3
outer_0.88850R,0.9977511,0.8885,677400.0,0.03136,0.73963,0.24335,0.0001,0.00288,0.000854,0.00791,1.2638843928658856,1.1229612830613394,1.4224922823476487,31.36
