case_id,base_isotope,relative_atomic_mass_u,group_size_k,total_mass_kg,radius_m,C_epsilon,case_type,m_base_kg,m_B_kg,N_B,R_D,M_reconstructed_kg,X_scale_M_over_R,G_scale_M_over_R2,K_scale_M_over_R3,X_from_descriptor,G_from_descriptor,K_from_descriptor,mass_reconstruction_rel_error
H1_atom,H-1,1.00782503223,1,1.0,0.1,1,species_fixed_M_R,1.6735328406534732e-27,1.6735328406534732e-27,5.9753831876375057e+26,1.6735328406534732e-27,1.0000000000000000e+00,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,0.000e+00
He4_atom,He-4,4.00260325413,1,1.0,0.1,1,species_fixed_M_R,6.6464790808691924e-27,6.6464790808691924e-27,1.5045560030096795e+26,6.6464790808691924e-27,1.0000000000000000e+00,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,0.000e+00
C12_atom,C-12,12.0,1,1.0,0.1,1,species_fixed_M_R,1.9926468827039998e-26,1.9926468827039998e-26,5.0184506280561410e+25,1.9926468827040001e-26,9.9999999999999989e-01,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,9.9999999999999982e+00,9.9999999999999972e+01,9.9999999999999966e+02,1.110e-16
N14_atom,N-14,14.00307400443,1,1.0,0.1,1,species_fixed_M_R,2.3252651469334047e-26,2.3252651469334047e-26,4.3005848228483336e+25,2.3252651469334047e-26,1.0000000000000000e+00,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,0.000e+00
Xe136_atom,Xe-136,135.907214484,1,1.0,0.1,1,species_fixed_M_R,2.2567923939877210e-25,2.2567923939877210e-25,4.4310677520186685e+24,2.2567923939877210e-25,1.0000000000000000e+00,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,0.000e+00
N14_group2,N-14,14.00307400443,2,1.0,0.1,1,bounded_level_regrouping,2.3252651469334047e-26,4.6505302938668093e-26,2.1502924114241668e+25,4.6505302938668093e-26,1.0000000000000000e+00,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,0.000e+00
N14_group1000,N-14,14.00307400443,1000,1.0,0.1,1,bounded_level_regrouping,2.3252651469334047e-26,2.3252651469334047e-23,4.3005848228483337e+22,2.3252651469334044e-23,1.0000000000000002e+00,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,1.0000000000000002e+01,1.0000000000000000e+02,1.0000000000000000e+03,2.220e-16
N14_group1e6,N-14,14.00307400443,1000000,1.0,0.1,1,bounded_level_regrouping,2.3252651469334047e-26,2.3252651469334048e-20,4.3005848228483334e+19,2.3252651469334045e-20,1.0000000000000002e+00,1.0000000000000000e+01,9.9999999999999986e+01,9.9999999999999977e+02,1.0000000000000002e+01,1.0000000000000000e+02,1.0000000000000000e+03,2.220e-16
