mass_fraction_enclosed,r_Rsun,r_AU,shell_rho_kg_m3,mean_enclosed_rho_kg_m3,g_m_s2,abs_phi_m2_s2,abs_phi_over_c2,Eenc_over_R_J_m,Eenc_over_R2_J_m2,Eenc_over_R3_J_m3,poisson_source_4piG_shellrho_s2
0.2,20.0,0.09300934521924314,352.45561397468043,352.4556139746804,1371.0420171972023,34677835565277.363,0.00038584295685524023,2.5688482251872932e+40,1.8462327333529488e+30,1.3268885535093783e+20,2.956106117285905e-07
0.4,50.0,0.2325233630481079,24.099529160661906,45.11431858875909,438.7334455031048,20590442117438.44,0.00022909956576136668,2.0550785801498344e+40,5.907944746729437e+29,1.6984173484920041e+19,2.0212691400245502e-08
0.6,130.0,0.6045607439250805,1.360832486388727,3.850220635135333,97.35209589565933,10156343109418.75,0.00011300455729994554,1.1856222577787506e+40,1.3109344852210287e+29,1.4494913647803855e+18,1.1413537132378006e-09
0.8,400.0,1.8601869043848631,0.04562310748341414,0.1762278069873402,13.710420171972025,3841941328080.7285,4.274736234043736e-05,5.137696450374586e+39,1.8462327333529491e+28,6.634442767546891e+16,3.8264888335982466e-11
1.0,21503.215567054765,100.0,2.835874378520924e-07,1.41792806228798e-06,0.005930262843244523,88715469404.07086,9.870927200526252e-07,1.194634456961425e+38,7.985638106822499e+24,533806936519.61847,2.3784968279161226e-16
