candidate,A_entropy,A_entropy_normalized,A_effective_channels_expH,A_effective_channels_IPR,A_L1_asymmetry,D_entropy,D_entropy_normalized,D_effective_channels_expH,D_effective_channels_IPR,D_L1_asymmetry,K_over_pi_A_entropy_normalized,K_over_pi_A_effective_channels_expH,K_over_pi_A_effective_channels_IPR,K_over_pi_D_entropy_normalized,K_over_pi_D_effective_channels_expH,K_over_pi_D_effective_channels_IPR
pion,6.931471805599e-01,1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,0.000000000000e+00,6.931471805599e-01,1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,0.000000000000e+00,9.647995485051e-01,9.758961580128e-01,9.538344143457e-01,9.864388336621e-01,9.906441565985e-01,9.816039672025e-01
kaon,6.687480868518e-01,9.647995485051e-01,1.951792316026e+00,1.907668828691e+00,2.200000000000e-01,6.837472963477e-01,9.864388336621e-01,1.981288313197e+00,1.963207934405e+00,1.368970013038e-01,9.647995485051e-01,9.758961580128e-01,9.538344143457e-01,9.864388336621e-01,9.906441565985e-01,9.816039672025e-01
