scenario,mass_kg,radius_m,bounded_unit_mass_kg,bounded_unit_count,C_epsilon,R_D,mB_C_over_RD_kg,Xhat_M_over_R,Ghat_M_over_R2,Khat_M_over_R3
initial_atomic_reference,1.0,0.1,2.3252651469334047e-26,4.300584822848334e25,1.0,2.3252651469334047e-26,1.0,10.0,99.99999999999999,999.9999999999998
molecular_open_same_R,0.9999999996259138,0.1,4.65053029212711e-26,2.150292411424167e25,1.0,4.6505302938668093e-26,0.9999999996259138,9.999999996259138,99.99999996259136,999.9999996259136
closed_total_same_R,1.0,0.1,4.65053029212711e-26,2.150292411424167e25,1.0,4.6505302938668093e-26,1.0,10.0,99.99999999999999,999.9999999999998
molecular_open_same_TP_ideal_geometry,0.9999999996259138,0.07937005259840998,4.65053029212711e-26,2.150292411424167e25,1.0,4.6505302938668093e-26,0.9999999996259138,12.599210494235539,158.74010513743744,1999.9999992518267
