model,composition_class,GM_m3_s2,R_m,c_m_s,phi_abs_m2_s2,X_surface_phi_over_c2,metric_departure_2GM_over_Rc2,g_surface_m_s2,escape_velocity_m_s,surface_clock_factor_vs_infinity,surface_gravitational_redshift
B23_GS98,high_Z,1.3271244e20,6.9599e8,299792458,1.906815327806e11,2.121618181368e-06,4.243236362735e-06,2.739716558868e02,6.175460027895e05,9.999978783796e-01,2.121624933293e-06
B23_AGSS09,low_Z,1.3271244e20,6.9599e8,299792458,1.906815327806e11,2.121618181368e-06,4.243236362735e-06,2.739716558868e02,6.175460027895e05,9.999978783796e-01,2.121624933293e-06
B23_C11,intermediate,1.3271244e20,6.9599e8,299792458,1.906815327806e11,2.121618181368e-06,4.243236362735e-06,2.739716558868e02,6.175460027895e05,9.999978783796e-01,2.121624933293e-06
B23_AAG21,low_Z,1.3271244e20,6.9599e8,299792458,1.906815327806e11,2.121618181368e-06,4.243236362735e-06,2.739716558868e02,6.175460027895e05,9.999978783796e-01,2.121624933293e-06
B23_MB22m,high_Z_meteoritic,1.3271244e20,6.9599e8,299792458,1.906815327806e11,2.121618181368e-06,4.243236362735e-06,2.739716558868e02,6.175460027895e05,9.999978783796e-01,2.121624933293e-06
B23_MB22p,high_Z_photospheric,1.3271244e20,6.9599e8,299792458,1.906815327806e11,2.121618181368e-06,4.243236362735e-06,2.739716558868e02,6.175460027895e05,9.999978783796e-01,2.121624933293e-06
