particle_key,particle_name_raw,particle_core,charge_label,mc_id_1,mass_GeV_c2,mass_MeV_c2,width_GeV,width_MeV,standard_role,structural_role,source_id,selection_status,selection_note,created_utc
photon,gamma 0,gamma,0,22,0,0,0,0,free_radiation_baseline,energy_present_but_no_individual_rest_mass,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
gluon,g 0,g,0,21,0,0,0,0,qcd_field_component,massless_field_component_in_qcd_confinement_context,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
electron,e -,e,-,11,0.00051099895,0.51099895,0,0,annihilation_transition_baseline,massive_fermionic_component,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
proton,p +,p,+,2212,0.93827208816,938.27208816,0,0,qcd_confined_hadron_baseline,bounded_qcd_hadron_mass_describability,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
neutron,n 0,n,0,2112,0.9395654205,939.5654205,7.493e-28,7.493e-25,qcd_confined_hadron_baseline,bounded_qcd_hadron_mass_describability,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
up_quark,u +2/3,u,+2/3,2,0.00216,2.16,,,constituent_quark_mass_reference,quark_mass_reference_not_total_hadron_mass,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
down_quark,d -1/3,d,-1/3,1,0.0047,4.7,,,constituent_quark_mass_reference,quark_mass_reference_not_total_hadron_mass,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
strange_quark,s -1/3,s,-1/3,3,0.0935,93.5,,,constituent_quark_mass_reference,quark_mass_reference_not_total_hadron_mass,PDG_MASS_WIDTH_2025,selected,Selected by particle core and charge label from cleaned PDG full table.,2026-06-01T21:44:36+00:00
